Date,Value
2017-05-31,2148.112242
2017-06-30,2171.194692
2017-07-31,2302.362026
2017-08-31,2354.57717
2017-09-29,2345.74858
2017-10-31,2428.129316
2017-11-30,2433.136419
2017-12-29,2521.742733
2018-01-31,2732.109285
2018-02-28,2606.494966
2018-03-30,2558.700655
2018-04-30,2547.855372
2018-05-31,2458.183913
2018-06-29,2357.686132
2018-07-31,2411.555544
2018-08-31,2347.057404
2018-09-28,2335.379244
2018-10-31,2132.204514
2018-11-30,2220.225841
2018-12-31,2162.749493
2019-01-31,2352.279785
2019-02-28,2357.783624
2019-03-29,2378.030563
2019-04-30,2428.541883
2019-05-31,2253.090057
2019-06-28,2395.536856
2019-07-31,2368.229232
2019-08-30,2253.438797
2019-09-30,2297.198972
2019-10-31,2394.310034
2019-11-29,2391.172754
2019-12-31,2571.141785
2020-01-31,2451.389332
2020-02-28,2322.259145
2020-03-31,1965.162454
2020-04-30,2145.501397
2020-05-29,2162.43582
2020-06-30,2322.513063
2020-07-31,2532.134898
2020-08-31,2588.733391
2020-09-30,2547.814726
2020-10-30,2600.700419
2020-11-30,2841.391158
2020-12-31,3051.617144
2021-01-29,3145.973044
2021-02-26,3170.207511
2021-03-31,3123.109961
2021-04-30,3201.289502
2021-05-31,3276.269716
2021-06-30,3283.022669
2021-07-30,3064.004118
2021-08-31,3145.168986
2021-09-30,3021.283043
2021-10-29,3051.526133
2021-11-30,2927.417438
2021-12-31,2983.765859
2022-01-31,2927.510881
2022-02-28,2840.359279
2022-03-31,2777.192225
2022-04-29,2623.12744
2022-05-31,2635.333399
2022-06-30,2462.3854
2022-07-29,2458.39894
2022-08-31,2469.58438
2022-09-30,2181.297222
2022-10-31,2113.858828
2022-11-30,2427.707446
2022-12-30,2394.897987
2023-01-31,2584.230189
2023-02-28,2416.855931
2023-03-31,2491.096294
2023-04-28,2463.338835
2023-05-31,2422.675646
2023-06-30,2516.963261
2023-07-31,2675.364039
2023-08-31,2511.332593
2023-09-29,2446.667019
2023-10-31,2351.871962
2023-11-30,2540.486922
2023-12-29,2640.735955
2024-01-31,2518.362014
2024-02-29,2638.610103
2024-03-29,2705.131212
2024-04-30,2717.813606
2024-05-31,2733.960707
2024-06-28,2843.533213
2024-07-31,2853.979774
2024-08-30,2901.013872
2024-09-30,3095.951629
2024-10-31,2962.104162
2024-11-29,2855.948904
2024-12-31,2853.329621
2025-01-31,2904.902117
